Название,Цена,Автор,Серия,Раздел,Издательство,ISBN,Возрастное ограничение,Год издания,Количество страниц,Переплет,Бумага,Формат,Вес
Дашкевич Виктор: Тайна мертвого ректора. Книга 1,618 ₽,Виктор Дашкевич,Расследования графа Аверина,Русское фэнтези,Эксмо,978-5-04-204880-7,16+,2024,348,Твёрдый переплёт,Нет данных,130x205  мм,0.39  кг
Кель Фрэнсис: Песнь Сорокопута. Да здравствует принц!,679 ₽,Фрэнсис Кель,Охотники за мирами,Русское фэнтези,Эксмо,978-5-04-175989-6,18+,2024,544,Твёрдый переплёт,офсет,130x205  мм,0.49  кг
Тони Сия: Система: Искупление (#3),618 ₽,Сия Тони,Freedom. Эксперимент любви. Романтическое фэнтези Сии Тони,Русское фэнтези,"Эксмо, Freedom",978-5-04-206090-8,18+,2025,512,Твёрдый переплёт,офсет,125x200  мм,0.01  кг
"Камша Вера Викторовна, Папсуев Роман Валентинович: Битва за Лукоморье. Книга 3",1 062 ₽,"Вера Камша, Роман Папсуев",Новые сказки Старой Руси,Русское фэнтези,Эксмо,978-5-04-180390-2,16+,2024,752,Твёрдый переплёт,офсет,143x217  мм,0.82  кг
Котова Ирина Владимировна: Королевская кровь. Вороново сердце. Часть 1,576 ₽,Ирина Котова,Другие Миры,Русское фэнтези,Нет данных,978-5-17-170740-8,16+,2024,352,Твёрдый переплёт,газетная,132x207  мм,0.28  кг
Дашкевич Виктор: Демон из Пустоши. Колдун Российской империи,594 ₽,Виктор Дашкевич,Расследования графа Аверина,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-197227-1,16+,2024,672,Твёрдый переплёт,Нет данных,130x205  мм,0.55  кг
Дашкевич Виктор: Граф Аверин. Колдун Российской империи,729 ₽,Виктор Дашкевич,Расследования графа Аверина,Русское фэнтези,"Эксмо, Редакция 1",978-5-04-181688-9,16+,2024,608,Твёрдый переплёт,Нет данных,130x205  мм,0.52  кг
Пехов Алексей Юрьевич: Птицеед. Коллекционное издание,1 679 ₽,Алексей Пехов,Пехов. Коллекционные издания,Русское фэнтези,Alpaca,978-5-00242-060-5,16+,2025,400,Твёрдый переплёт,Нет данных,161x226  мм,0.70  кг
Князь Анастасия: Запечатление,600 ₽,Анастасия Князь,Фэнтези. Бромансы,Русское фэнтези,АСТ,978-5-17-168596-6,18+,2025,416,Твёрдый переплёт,газетная,125x200  мм,0.01  кг
Штарк Анна и Мари: Обезьяний лес. Том 1,1 019 ₽,Анна и Мари Штарк,Обезьяний лес,Русское фэнтези,Нет данных,978-5-353-10981-5,18+,2025,640,Твёрдый переплёт,Нет данных,145x220  мм,0.50  кг
